epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,111.82,0.43059,0.67921,0.90296,1,0.99936,0.995,0.96838,0.27549,0.52268,0.69174,0.0002377,0.0002377,0.0002377
79,113.058,0.36796,0.65428,0.87917,1,0.99931,0.995,0.96893,0.28018,0.52559,0.69699,0.0002278,0.0002278,0.0002278
80,114.205,0.42892,0.73772,0.94112,1,0.99931,0.995,0.96893,0.28018,0.52559,0.69699,0.0002179,0.0002179,0.0002179
81,115.392,0.34631,0.6354,0.87699,1,0.99919,0.995,0.96816,0.28202,0.53138,0.70081,0.000208,0.000208,0.000208
82,116.552,0.36425,0.6439,0.88023,1,0.99919,0.995,0.96816,0.28202,0.53138,0.70081,0.0001981,0.0001981,0.0001981
83,117.719,0.3595,0.62393,0.87004,1,0.99919,0.995,0.96816,0.28202,0.53138,0.70081,0.0001882,0.0001882,0.0001882
84,118.926,0.40402,0.69347,0.89861,1,0.99906,0.995,0.96789,0.28418,0.53446,0.70254,0.0001783,0.0001783,0.0001783
85,120.033,0.39162,0.67943,0.90158,1,0.99906,0.995,0.96789,0.28418,0.53446,0.70254,0.0001684,0.0001684,0.0001684
86,121.167,0.39286,0.64494,0.87347,1,0.99906,0.995,0.96789,0.28418,0.53446,0.70254,0.0001585,0.0001585,0.0001585
87,122.336,0.37396,0.61254,0.87365,1,0.9991,0.995,0.96857,0.27584,0.53557,0.69929,0.0001486,0.0001486,0.0001486
88,123.478,0.39011,0.65234,0.88102,1,0.9991,0.995,0.96857,0.27584,0.53557,0.69929,0.0001387,0.0001387,0.0001387
89,124.751,0.35143,0.6187,0.88363,1,0.99929,0.995,0.97262,0.26002,0.53119,0.6932,0.0001288,0.0001288,0.0001288
90,125.968,0.34571,0.63768,0.84937,1,0.99929,0.995,0.97262,0.26002,0.53119,0.6932,0.0001189,0.0001189,0.0001189
91,150.097,0.322,1.09005,0.86509,1,0.99929,0.995,0.97262,0.26002,0.53119,0.6932,0.000109,0.000109,0.000109
92,151.474,0.29306,0.78678,0.79259,1,0.99951,0.995,0.97473,0.24681,0.52767,0.688,9.91e-05,9.91e-05,9.91e-05
93,152.755,0.33178,0.83878,0.81494,1,0.99951,0.995,0.97473,0.24681,0.52767,0.688,8.92e-05,8.92e-05,8.92e-05
94,154.014,0.33858,0.96554,0.84906,1,0.99951,0.995,0.97473,0.24681,0.52767,0.688,7.93e-05,7.93e-05,7.93e-05
95,155.422,0.32087,0.84692,0.83783,1,0.99994,0.995,0.97368,0.24032,0.52111,0.68501,6.94e-05,6.94e-05,6.94e-05
96,156.765,0.30592,0.79457,0.84745,1,0.99994,0.995,0.97368,0.24032,0.52111,0.68501,5.95e-05,5.95e-05,5.95e-05
97,158.072,0.29761,0.785,0.82931,0.99963,1,0.995,0.97553,0.23393,0.51692,0.68256,4.96e-05,4.96e-05,4.96e-05
98,159.251,0.31368,0.80725,0.82913,0.99963,1,0.995,0.97553,0.23393,0.51692,0.68256,3.97e-05,3.97e-05,3.97e-05
99,160.441,0.31447,0.87934,0.83784,0.99963,1,0.995,0.97553,0.23393,0.51692,0.68256,2.98e-05,2.98e-05,2.98e-05
100,161.655,0.307,0.89135,0.82177,0.99949,1,0.995,0.9742,0.23237,0.51416,0.68146,1.99e-05,1.99e-05,1.99e-05
